# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
XO-4 b,Confirmed,1.616,0.1004,0.1009,1.615,0.1,0.1,1.317,0.029,0.04,4.12473,0.00047,0.00061,0.05485,0.00042,0.00042,0,,,88.47,0.81,0.58,0.000189,2008,23/11/2015,,,,,,,,,,2454485.933,0.00036,0.00036,,,,320,7.5,8.8,0.205,0.076,0.1,,,,172,10,10,1641,,,,,,,,,Submitted to a professional journal,Primary Transit,Radial Velocity,Primary Transit,,,XO-4,110.3875,58.2680556,10.7,,9.67,9.48,9.41,293,19,19,-0.04,0.03,0.03,1.32,0.02,0.02,1.55,0.05,0.05,F5V,2.1,0.6,0.6,5700,70,70,,,
K2-12 b,Confirmed,,,,,,,0.208,0.052,0.052,8.28212,0.0006,0.0006,0.0802,0.0021,0.0021,,,,,,,,2015,30/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,EPIC 201613023 b,,K2-12,173.192036,2.244884,,,,,,294,27,78,0.03,0.17,0.13,1.01,0.06,0.05,1.01,0.09,0.27,,,,,5800,90,53,,,EPIC 201613023
HAT-P-46 b,Confirmed,0.493,0.052,0.082,,,,1.284,0.133,0.271,4.463129,4.80E-05,4.80E-05,0.0577,0.0009,0.0014,0.123,0.12,0.12,85.5,2.3,0.8,,2013,27/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-46,270.4458,-2.9708333,11.936,,,,,296,29,61,0.3,0.1,0.1,1.284,0.06,0.095,1.396,0.136,0.293,,2.5,1,0.7,6120,100,100,,,
HAT-P-46 c,Confirmed,2,0.3,0.3,,,,,,,77.7,0.6,0.6,0.387,0.007,0.01,,,,,,,,2013,21/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-46,270.4458,-2.9708333,11.936,,,,,296,29,61,0.3,0.1,0.1,1.284,0.06,0.095,1.396,0.136,0.293,,2.5,1,0.7,6120,100,100,,,
Kepler-1185 b,Confirmed,,,,,,,0.119,0.004,0.007,104.3518976,0.0006705,0.0006705,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1185,287.241174,39.332757,,,11.386,11.039,10.981,296,,,-0.04,0.086,0.092,0.96,0.02,0.02,0.87,0.02,0.02,,,,,5622,58.78,67.7,,,
Kepler-858 b,Confirmed,,,,,,,0.434,0.018,0.021,76.13602028,5.53E-05,5.53E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-858,288.848631,51.209049,,,11.297,10.943,10.862,296,,,-0.04,0.106,0.106,0.96,0.04,0.04,0.91,0.04,0.04,,,,,5653,61.07,74.35,,,
HAT-P-25 b,Confirmed,0.567,,,,,,1.19,,,3.652836,,,0.0466,,,0.032,,,87.6,,,0.000157,2010,31/05/2013,271,,,,,,,,,2455176.852,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-25,48.4375,25.1975,13.19,,,,,297,13,13,0.31,0.08,0.08,1.01,0.032,0.032,0.959,0.037,0.037,G5,3.2,2.3,2.3,5500,80,80,,,
Kepler-973 b,Confirmed,,,,,,,0.175,0.006,0.007,49.6077331,0.0001208,0.0001208,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-973,290.165258,49.923862,,,11.845,11.43,11.303,297,,,-0.06,0.096,0.113,0.86,0.03,0.03,0.78,0.02,0.02,,,,,5213,62.75,65.87,,,
WASP-5 b,Confirmed,1.637,0.082,0.082,,,,1.171,0.057,0.057,1.6284246,1.30E-06,1.30E-06,0.02729,0.00056,0.00056,0,,,85.8,1.1,1.1,9.20E-05,2007,05/08/2013,,,,,,,,,,2454375.625,0.00024,0.00024,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-5,359.35,-41.2772222,12.26,,,,,297,50,50,0.09,0.09,0.09,1,0.06,0.06,1.084,0.041,0.041,G5,3,1.4,1.4,5700,100,100,,,
Kepler-960 b,Confirmed,,,,,,,0.204,0.022,0.006,3.12686223,1.67E-06,1.67E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-960,281.457163,46.746468,,,12.272,11.729,11.618,298,,,0.02,0.163,0.157,0.77,0.04,0.03,0.72,0.03,0.02,,,,,4755,40.53,41.26,,,
Kepler-993 b,Confirmed,,,,,,,0.265,0.011,0.016,22.08557563,4.66E-05,4.66E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-993,292.614101,44.394661,,,13.587,12.893,12.729,298,,,0.03,0.094,0.09,0.57,0.02,0.02,0.54,0.02,0.02,,,,,3843,46.25,50.16,,,
Kepler-1008 b,Confirmed,,,,,,,0.114,0.004,0.006,12.43931193,2.84E-05,2.84E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1008,296.547525,44.941933,,,11.93,11.46,11.378,299,,,-0.01,0.102,0.102,0.81,0.03,0.03,0.78,0.03,0.03,,,,,5066,66.82,79.91,,,
HD 95127 b,Confirmed,5.01,0.44,0.61,5.01,0.44,0.61,,,,482,5,5,1.28,0.01,0.01,0.11,0.06,0.15,,,,,2015,10/01/2016,40,40,40,2453200,50,50,,,,,,,,,,,,,,,,,,,116,9,16,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 95127,164.8958333,43.81444447,8.15,,,,,300,100,100,-0.18,0.05,0.05,1.2,0.22,0.22,20,9,9,K0,5.5,4.7,2.5,4218,69,69,,,
CoRoT-2 b,Confirmed,3.31,0.16,0.16,,,,1.465,0.029,0.029,1.7429964,1.70E-06,1.70E-06,0.0281,0.0009,0.0009,0,,,87.84,0.1,0.1,9.40E-05,2007,25/01/2014,,,,,,,,,,2454706.404,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-2,291.7791667,1.3838889,12.57,,,,,300,100,100,-0.04,0.08,0.08,0.97,0.06,0.06,0.902,0.018,0.018,G7V,,,,5575,66,66,,,
EPIC 219388192 b,Confirmed,36.5,0.09,0.09,,,,0.937,0.042,0.042,5.292569,2.60E-05,2.60E-05,0.0593,0.0029,0.0029,0.1929,0.0019,0.0019,90,0.7,0,,2016,28/10/2016,345.9,1,1,,,,,,,2457346.329,0.00011,0.00011,,,,,,,0,0,15,,,,4267,12,12,1164,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,EPIC 219388192,289.3916667,-16.87166669,12.5,,,,,300,24,24,0.03,0.08,0.08,0.99,0.05,0.05,1.01,0.04,0.04,G,3.9,1.9,1.9,5850,85,85,,,2MASS J19173402-1652177
Kepler-1088 b,Confirmed,,,,,,,0.127,0.009,0.01,23.12748644,8.92E-05,8.92E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1088,281.561453,42.450504,,,10.779,10.478,10.476,300,,,0.05,0.082,0.082,1.08,0.03,0.03,1.08,0.06,0.08,,,,,5975,58.16,64.37,,,
WASP-135 b,Confirmed,1.9,0.083,0.084,1.9,0.08,0.08,1.3,0.09,0.09,1.4013794,8.00E-07,8.00E-07,0.0243,0.0005,0.0005,0,,,82,0.6,0.6,,2015,19/11/2015,,,,,,,,,,2455230.99,0.0009,0.0009,,,,,,,0.8,0.03,0.03,,,,346,3,3,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-135,267.2833333,29.87916669,13.3,,,,,300,45,45,0.02,0.13,0.13,0.98,0.06,0.06,0.96,0.05,0.05,G5,4.4,2.5,2.5,5680,60,60,,,
WASP-22 b,Confirmed,0.617,0.0172,0.00318,0.617,0.017,0.0028,1.199,0.027,0.046,3.5327313,5.80E-06,5.80E-06,0.04698,0.00037,0.00037,0,,,88.26,0.91,0.91,0.000157,2010,18/12/2015,,,,,,,,,,2455497.4,0.00025,0.00025,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-22,52.8166667,-23.8197222,12,,,,,300,,,-0.05,0.08,0.08,1.1,0.3,0.3,1.13,0.03,0.03,,,,,6000,100,100,,,
WASP-4 b,Confirmed,1.237,0.062,0.059,,,,1.395,0.022,0.022,1.33823187,2.50E-07,2.50E-07,0.02312,0.00033,0.00033,0,,,88.8,0.43,0.61,7.70E-05,2007,28/05/2014,,,,,,,,,,2454823.592,2.80E-05,2.80E-05,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,WASP-4,353.5625,-42.0613889,12.6,,,,,300,50,50,-0.03,0.09,0.09,0.93,0.05,0.05,1.15,0.28,0.28,G8,,,,5500,100,100,,,
WASP-58 b,Confirmed,0.89,0.07,0.07,,,,1.37,0.2,0.2,5.01718,1.10E-05,1.10E-05,0.0561,0.002,0.002,0,,,87.4,1.5,1.5,,2011,07/11/2012,,,,,,,,,,2455183.934,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-58,274.7,45.1719,11.66,,,,,300,50,50,-0.45,0.09,0.09,0.94,0.1,0.1,1.17,0.13,0.13,G2V,3.2,4.5,2.1,5800,150,150,,,
WASP-83 b,Confirmed,0.3,0.03,0.03,0.3,0.03,0.03,1.04,0.05,0.08,4.071252,1.50E-05,1.50E-05,0.059,0.001,0.001,0,,,88.9,0.7,0.7,,2014,27/07/2015,,,,,,,,,,2455928.885,0.0004,0.0004,,,,,,,0.23,0.15,0.15,,,,32.9,3,3,1120,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-83,190.1541667,-19.28416667,12.9,,,,,300,50,50,0.29,0.12,0.12,1.11,0.09,0.09,1.05,0.06,0.04,G8,5,0,7,5480,110,110,,,
Kepler-472 b,Confirmed,,,,,,,0.287,0.025,0.012,4.17625551,1.84E-06,1.84E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-472,296.524306,39.249776,,,12.063,11.565,11.461,302,,,0.16,0.098,0.093,0.85,0.03,0.03,0.78,0.01,0.02,,,,,4996,84.63,82.76,,,
Kepler-674 b,Confirmed,,,,,,,0.151,0.006,0.009,2.24338185,2.72E-06,2.72E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-674,285.176211,50.149818,,,13.213,12.521,12.394,302,,,-0.27,0.138,0.143,0.6,0.04,0.04,0.57,0.02,0.03,,,,,4192,42.83,40.95,,,
HAT-P-57 b,Confirmed,1.85,1.85,0.00104,1.85,1.85,0,1.413,0.054,0.054,2.465295,3.20E-06,3.20E-06,0.0406,0.0011,0.0011,0,,,88.26,0.85,0.85,,2015,04/11/2015,,,,,,,,,,2455113.481,0.00048,0.00048,,,,,,,0.031,0.023,0.04,,,,215.2,215.2,0,2200,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-57,282.2416667,10.59722225,10.47,,,,,303,13,13,-0.25,0.25,0.25,1.47,0.12,0.12,1.5,0.05,0.05,,1,0.51,0.67,7500,250,250,,,2MASS 18185842+103
HATS-1 b,Confirmed,1.855,4.00E-06,4.00E-06,,,,1.302,0.058,0.058,3.446459,,,0.0444,0.0008,0.0008,0.12,0.092,0.092,85.6,1.4,1.4,0.000147,2012,08/06/2012,60,0,0,,,,,,,2455241.287,0.00071,0.00071,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HATS-1,175.525,-23.3547222,12.05,,,,,303,23,23,-0.06,0.12,0.12,0.986,0.054,0.054,1.038,0.075,0.075,,6,2.8,2.8,5870,100,100,,,
HAT-P-45 b,Confirmed,0.892,0.099,0.137,,,,1.426,0.087,0.175,3.128992,1.00E-05,1.00E-05,0.0452,0.0007,0.0007,0.049,0.063,0.063,87.8,0.9,0.9,,2013,25/05/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-45,274.375,-3.3811,12.794,,,,,305,17,35,0.07,0.1,0.1,1.259,0.058,0.058,1.319,0.072,0.155,,2,0.8,0.8,6330,100,100,,,
HAT-P-48 b,Confirmed,0.168,0.024,0.024,,,,1.131,0.054,0.054,4.40865,8.00E-06,8.00E-06,0.0543,0.0007,0.0007,0,,,86.8,0.3,0.5,,2016,25/06/2017,,,,,,,,,,2455839.21,0.00029,0.00029,,,,,,,0.281,0.057,0.04,,,,19.6,2.8,2.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-48,44.47083335,30.62583335,12.16,,,,,305,12,12,0.02,0.08,0.08,1.099,0.041,0.041,1.223,0.046,0.046,,4.7,0.8,1.3,5946,50,50,,,
Kepler-1312 b,Confirmed,,,,,,,0.187,0.006,0.007,5.44832529,7.35E-06,7.35E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1312,292.971241,41.035764,,,11.323,10.947,10.907,305,,,-0.02,0.096,0.094,0.99,0.03,0.03,0.92,0.03,0.03,,,,,5719,58.57,71.88,,,
Kepler-533 b,Confirmed,,,,,,,0.302,0.029,0.007,28.51120525,2.32E-05,2.32E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-533,293.685736,48.825146,,,12.335,11.778,11.683,305,,,0.01,0.101,0.104,0.78,0.03,0.02,0.72,0.02,0.01,,,,,4758,40.01,53.5,,,
HAT-P-24 b,Confirmed,0.685,0.033,0.033,,,,1.242,0.067,0.067,3.35524,7.00E-06,7.00E-06,0.0465,0.0006,0.0006,0.067,0.024,0.024,88.6,0.7,0.7,0.000152,2010,05/07/2012,197,36,36,,,,,,,2455216.977,0.00028,0.00028,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-24,108.825,14.2622222,11.82,,,,,306,20,20,-0.16,0.08,0.08,1.191,0.042,0.042,1.317,0.068,0.068,F8,2.8,0.6,0.6,6373,80,80,,,
WASP-6 b,Confirmed,0.503,0.038,0.019,,,,1.224,0.052,0.051,3.361006,3.50E-06,3.50E-06,0.0421,0.0013,0.0013,0.054,0.015,0.015,88.47,0.47,0.47,0.000137,2008,23/05/2014,1.7,0.22,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-6,348.1583333,-22.6738889,12.4,,,,,307,,,-0.2,0.09,0.09,0.888,0.08,0.08,0.87,0.036,0.036,G8,11,7,7,5450,100,100,,,
WASP-138 b,Confirmed,1.22,0.08,0.08,1.09,0.05,0.05,,,,3.634433,5.00E-06,5.00E-06,0.0494,0.0007,0.0007,,,,88.5,1.2,0.9,,2016,27/07/2016,,,,2457326.622,0.000319,0.000319,,,,,,,,,,,,,0.19,0.15,0.12,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-138,41.63904168,-0.463888909,11.81,,,,,308,51,51,-0.09,0.1,0.1,1.22,0.08,0.08,1.36,0.05,0.05,F9,,,,6272,96,96,,,
WASP-15 b,Confirmed,0.542,0.05,0.05,,,,1.428,0.077,0.077,3.7520656,2.80E-06,2.80E-06,0.0499,0.0018,0.0018,0,,,85.5,0.5,0.5,0.000162,2008,18/06/2013,,,,,,,,,,2454584.698,0.00029,0.00029,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-15,208.9291667,-32.1597222,10.9,,,,,308,,,-0.17,0.11,0.11,1.18,0.12,0.12,1.477,0.072,0.072,F7,3.9,1.3,1.3,6300,100,100,,,
HAT-P-4 b,Confirmed,0.68,0.04,0.04,,,,1.27,0.05,0.05,3.0565114,2.80E-06,2.80E-06,0.0446,0.0012,0.0012,0,,,89.67,0.3,0.3,0.000144,2007,07/05/2013,,,,,,,,,,2454502.562,0.00021,0.00021,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-4,229.9916667,36.2297222,11.2,,,,,310,30,30,0.2,0.08,0.08,1.26,0.14,0.14,1.59,0.07,0.07,F,4.2,-0.6,-0.6,5890,67,67,,,
Kepler-1499 b,Confirmed,,,,,,,0.106,0.012,0.022,44.2008,0.0006553,0.0006553,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1499,283.986337,41.650406,,,12.016,11.551,11.455,310,,,-0.01,0.169,0.149,0.82,0.04,0.04,0.78,0.04,0.04,,,,,5097,92.24,77.02,,,
WASP-65 b,Confirmed,1.55,0.16,0.16,,,,1.112,0.059,0.059,2.3114243,1.50E-06,1.50E-06,0.0334,0.0017,0.0016,,,,88.8,0.7,0.8,,2011,25/07/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Primary Transit,,,,,WASP-65,133.325,8.523,11.9,,,,,310,50,50,-0.07,0.07,0.07,0.93,0.16,0.12,,,,G6,,,,5600,100,100,,,
Kepler-100 b,Confirmed,0.0231,0.01,0.01,0.0231,0.01,0.01,0.1164,0.0027,0.0027,6.887037,4.70E-05,4.70E-05,,,,0.13,0.13,0.27,,,,,2014,20/11/2015,,,,,,,,,,,,,,,,,,,0.54,0.02,0.02,,,,1.9,0.8,0.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-100,291.3858333,41.99000003,,,,,,310.34,9.63,0.49,0.02,0.1,0.1,1.109,0.02,0.02,1.5131,0.011,0.0093,,6.5,0.56,0.46,5825,75,75,,,KOI-41
Kepler-100 c,Confirmed,0.0027,0.013,0.013,0.0027,0.013,0.013,0.1981,0.002,0.002,12.815909,2.60E-05,2.60E-05,,,,0.02,0.01,0.15,,,,,2014,20/11/2015,,,,,,,,,,,,,,,,,,,0.05,0.04,0.04,,,,0.18,0.8,0.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-100,291.3858333,41.99000003,,,,,,310.34,9.63,0.49,0.02,0.1,0.1,1.109,0.02,0.02,1.5131,0.011,0.0093,,6.5,0.56,0.46,5825,75,75,,,KOI-41
Kepler-100 d,Confirmed,0.0094,0.0094,0,0.0094,0.0094,0,0.1351,0.003,0.003,35.33313,0.00043,0.00043,,,,0.38,0.16,0.12,,,,,2014,20/11/2015,,,,,,,,,,,,,,,,,,,0.75,0.01,0.01,,,,-0.79,1,1,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-100,291.3858333,41.99000003,,,,,,310.34,9.63,0.49,0.02,0.1,0.1,1.109,0.02,0.02,1.5131,0.011,0.0093,,6.5,0.56,0.46,5825,75,75,,,KOI-41
HAT-P-56 b,Confirmed,2.2,0.253,0.253,2.18,0.25,0.25,1.466,0.04,0.04,2.7908327,4.70E-06,4.70E-06,0.0423,0.00039,0.00039,0.246,0.246,0,82.13,0.18,0.18,,2015,09/05/2016,,,,,,,,,,2456553.616,0.00042,0.00042,,,,8,2,2,0.7613,0.0104,0.0077,,,,262,30,30,1840,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-56,101.35,27.25222223,10.91,,,,,310.5,7.1,7.1,-0.077,0.08,0.08,1.296,0.036,0.036,1.428,0.03,0.03,F,2.01,0.35,0.35,6566,50,50,,,
KELT-18 b,Confirmed,1.18,0.11,0.11,,,,1.57,0.036,0.042,2.8717518,2.80E-06,2.80E-06,0.0455,0.00069,0.00069,0,,,88.86,1.2,0.79,,2017,07/02/2017,,,,,,,,,,2457591.346,0.0016,0.0016,2457541.089,0.00039,0.00039,,,,0.102,0.071,0.1,,,,127,13,13,2120,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KELT-18,216.525,59.44416668,10.1,,,,,311,14,14,0.09,0.13,0.13,1.524,0.069,0.069,1.908,0.035,0.042,F4V,1.9,0.2,0.2,6670,120,120,,,
Kepler-1627 b,Confirmed,,,,,,,0.329,0.037,0.044,7.20283653,8.77E-05,8.77E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1627,284.056684,41.576733,,,11.69,11.298,11.194,311,,,-0.1,0.177,0.161,0.87,0.06,0.05,0.84,0.07,0.09,,,,,5445,121.15,93.89,,,
Kepler-551 b,Confirmed,,,,,,,0.244,0.013,0.022,12.3764661,1.30E-05,1.30E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-551,285.485043,48.054325,,,12.991,12.369,12.193,312,,,-0.09,0.094,0.113,0.65,0.03,0.03,0.63,0.02,0.02,,,,,4286,34.92,37.81,,,
Kepler-968 b,Confirmed,,,,,,,0.178,0.007,0.007,3.69298373,3.61E-06,3.61E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-968,285.602528,50.112038,,,12.518,11.971,11.831,312,,,0.13,0.211,0.133,0.76,0.04,0.03,0.7,0.03,0.02,,,,,4598,38.88,37.07,,,
Kepler-968 c,Confirmed,,,,,,,0.151,0.006,0.007,5.70940492,9.54E-06,9.54E-06,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-968,285.602528,50.112038,,,12.518,11.971,11.831,312,,,0.13,0.211,0.133,0.76,0.04,0.03,0.7,0.03,0.02,,,,,4598,38.88,37.07,,,
Kepler-65 b,Confirmed,,,,,,,0.1257,0.0015,0.0015,2.1549156,2.50E-06,2.50E-06,0.035,0.001,0.002,0.02,0.02,0.17,,,,,2013,02/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-65,288.6875,41.15113583,11.018,10.882,10.066,9.852,9.806,312.43,9.75,9.75,0.17,0.06,0.06,1.199,0.03,0.029,1.399,0.012,0.012,B,3.89,0.48,0.59,6211,66,66,,,
Kepler-65 c,Confirmed,0.084,0.058,0.064,0.084,0.058,0.064,0.2294,0.0029,0.0029,5.8599408,2.30E-06,2.30E-06,0.068,0.002,0.004,0.08,0.08,0.13,,,,,2013,02/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-65,288.6875,41.15113583,11.018,10.882,10.066,9.852,9.806,312.43,9.75,9.75,0.17,0.06,0.06,1.199,0.03,0.029,1.399,0.012,0.012,B,3.89,0.48,0.59,6211,66,66,,,
Kepler-65 d,Confirmed,,,,,,,0.1344,0.0036,0.0036,8.131231,2.10E-05,2.10E-05,0.084,0.002,0.006,0.1,0.1,0.23,,,,,2013,02/12/2015,,,,,,,,,,,,,,,,,,,0.53,0.02,0.07,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-65,288.6875,41.15113583,11.018,10.882,10.066,9.852,9.806,312.43,9.75,9.75,0.17,0.06,0.06,1.199,0.03,0.029,1.399,0.012,0.012,B,3.89,0.48,0.59,6211,66,66,,,
HAT-P-36 b,Confirmed,1.832,0.099,0.099,,,,1.264,0.071,0.071,1.327347,3.00E-06,3.00E-06,0.0238,0.0004,0.0004,0.063,0.032,0.032,86,1.3,1.3,7.50E-05,2012,14/01/2012,95,63,63,,,,,,,2455565.181,0.0002,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-36,188.2625,44.9152778,12.26,,,,,317,17,17,0.26,0.08,0.08,1.022,0.049,0.049,1.096,0.056,0.056,,6.6,1.8,1.8,5580,100,100,,,
Kepler-909 b,Confirmed,,,,,,,0.131,0.01,0.014,13.93290318,4.46E-05,4.46E-05,,,,,,,,,,,2016,12/05/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-909,289.506358,45.370998,,,10.586,10.327,10.274,318,,,0.08,0.075,0.082,1.17,0.04,0.04,1.23,0.08,0.13,,,,,6154,57.72,62.02,,,
HD 1690 b,Confirmed,6.1,0.9,0.9,6.1,0.9,0.9,,,,533,1.7,1.7,1.3,0.02,0.02,0.64,0.04,0.04,,,,0.004075,2010,20/12/2010,122,8,8,54449,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 1690,5.3041667,-8.2811111,9.17,,,,,319,100,100,-0.32,0.06,0.06,1.09,0.15,0.15,16.7,3.6,3.6,K1III,6.7,3.2,3.2,4393,85,85,,,
